pk_clientes;CustomerKey;Customer;Customer Type;Line of Business;Business Unit;Business Family;Regional Sales Mgr;Phone;Division;Address Number
373bba7b49195fe90629c9beeed92a5265f45a729987c5d26648ce5dcbe4faa1;10018518;K Shop;G2;Não Informado;1;O2;S12;816-455-8733;1;10018518
c8f556c33ff8657bfd9c6aa0656f68b6709400c28efd7c013bd70d97e9eff12e;10025032;Talkland Shop;G1;M1;1;R3;S19;816-455-8733;1;10025032
13f32ba059676e76d1433a07c8547bc8a39e9b1ed518b235959661e21ef1a2fe;10023513;Sagent Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10023513
fe2c6659b6d18719cc49d1b4a72d0a64356c300018d3f7f8d33fbb6fb157300f;10023759;SASCO Store;G2;Não Informado;1;R3;S1;816-455-8733;2;10023759
3b089570dda36eecec966dc0468e04eaeaf6e509ba12a65b020e96440d503ad9;10024725;Stone Market;G2;Não Informado;1;R3;S16;816-455-8733;2;10024725
f379ad87a9aa6589dedafe8387337b41401f620105104c2a5e2fb695110ba8e3;10011734;Felidae Enterprises;G2;Não Informado;1;R3;S16;816-455-8733;2;10011734
dc9e9f39c1533422c5a8a39d3474eaefb84e5c03fb5fbbb65f92665cadb9b930;10025251;Time Supermarket;G2;Não Informado;1;R2;S5;816-455-8733;2;10025251
da727be345b6323878a4a432baff7aa3c70225366d0f42bb8d6c1dd5a70dbf81;10021223;PacificServ Shop;G2;Não Informado;1;O2;S12;816-455-8733;2;10021223
48bf9c4b5b9b69368aa39c8f21b764b95d734580daab828aea95b1f744ccfb4f;10009645;Day Market;G2;Não Informado;1;O2;S12;816-455-8733;1;10009645
30e1a24e3713f83d352a97376ca505edc675a1dc217746ff1e83413cf5eb5e3d;10011499;Farmland Supermarket;G2;Não Informado;1;R3;S14;816-455-8733;1;10011499
b67bce89df543255b8087de5de8b39d2f9560db83b86d3e30e8c5583707cbd6f;10021470;Papyrus Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10021470
fe0ed95289afa065cc81dc123ea259d48ddc119b3eb02f65f47c1985c8daf4c1;10025305;Ubicco Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10025305
aa3118aa6b9d53446865a557827958175fa597a3731c135d832b1329353524f1;10013574;Gebbie Store;G2;Não Informado;1;R3;S16;816-455-8733;1;10013574
cc7db9f1bed03c1a99a5fc1aee01739b95f8f84b45ee4d0b6c3a78fd61232fe2;10024034;Script Supermarket;G3;Não Informado;1;R3;S5;816-455-8733;1;10024034
b61ba54e2bd33937c0c9f3ed39730552b529fc05af7b007cdb0d2875001598e5;10021297;PageSites Shop;G2;Não Informado;1;R3;S1;816-455-8733;1;10021297
6fd02fe9183713662e42930369a136ea95cd7a4fad605c2980235b2245a79def;10000481;Abbott Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10000481
e04fd05d6489c4c49c28bd7f0a81591ca9e0b59551cfe7c64deca44840cc8abf;10024550;Southwire Store;G2;Não Informado;1;R2;S9;816-455-8733;2;10024550
e08d1eaf6d26a4d9cd5df9f488b3e30518f4d164d4e46dcd7f87a0664e2f0149;10000466;A2Z Store;G2;Não Informado;1;R3;S16;816-455-8733;2;10000466
13b5e2ba1594f7ef4de22e14f3f8488cc551e0a9c25eac09b0fd5fb7613417bf;10026522;XCOM Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10026522
a46ce1e951fc8c988e5d39fc516d9753826254acc49c4c48077f586a605c563e;10020448;Nanao Shop;G3;Não Informado;1;R3;S5;816-455-8733;1;10020448
b6319a6e03aef3511b1598bcbfdc46e0ed33c14e4d97d1c28ae14b32d411afdd;10025052;Target Gigstore;G1;Não Informado;1;O2;S1;816-455-8733;1;10025052
0a063796d05157a18b9294752045cc033993144ca656a4e805a5339455c93623;10027082;ySecret Shop;G3;Não Informado;1;R3;S5;816-455-8733;1;10027082
661aaa90b6cbe2f416a5559a0769183beef60b1c7ec4645647971ac0958323bc;10020491;Nbase Shop;G1;M1;1;R3;S16;816-455-8733;1;10020491
af176849f5a98ff852a8aaae60a745f7d64057ba5b0dc4cd7e66ef234f92fb69;10025249;Texasgulf Market;G2;Não Informado;1;R1;S11;816-455-8733;2;10025249
53a9046471772439814002a92b5050f304dcbe58a1cb1975c585a3cec023098d;10020982;Outsource Store;G2;Não Informado;1;R3;S1;816-455-8733;1;10020982
1067f1262d0238fcde8c59570eee4d1116416d98b6fd747582acc7acf2933039;10005810;Big Shop;G1;M1;1;R3;S19;816-455-8733;1;10005810
5af4ad7016c6b675efeaee46f930ed7ec4e69652b00d4c8c0faa45b60566e28e;10003749;Associates Shop;G1;M1;1;R3;S19;816-455-8733;1;10003749
e15c3c2a0283d3d8bbbaa166a0bc7e3aec7426005c7d4b71d36cf00776ed2c0d;10021422;PAP Supermarket;G2;Não Informado;1;R1;S4;816-455-8733;2;10021422
be15516b45a4e3883b0127f69b6be5825353694a3d22f3b868ffc134ff5fdc0a;10010906;ediSys Shop;G2;Não Informado;1;R3;S1;816-455-8733;2;10010906
e842e44bdb367df46f45781eb1244422cf01b76e0835e8a3a5e528bb7fe3cab5;10026291;Warsun Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10026291
46f2896fae3810705cc8b6afd32545719ce50515d3c7d87c62633054063bf94e;10015886;Hewlett Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;1;10015886
10b9016c92bdc0ddbefd69725f3fc451b23abf92189599f5debabbcdb6a21aca;10021179;Pacific Store;G2;Não Informado;1;R3;S4;816-455-8733;2;10021179
f5f1565315768cd31569bb87b1314c2a09be3fa1292bc36f1b0b325d22d4caea;10025769;UUmail Shop;G2;Não Informado;1;R3;S1;816-455-8733;2;10025769
4f248fa624ab81f938e8ea326742a2f79dd3dab51b1da332f6177faad22e67c0;10011345;Emergent Shop;G2;Não Informado;1;R3;S16;816-455-8733;1;10011345
bf663c6e054fab1058ce8e0a87f2e353400237adcb70fa764654ba170bda629f;10014495;Harvard Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10014495
d090c67a97ca137783a8b963f840b61aa4aa317f0b03eb24655c27a388e4ebd8;10024009;Scottish Supermarket;G2;Não Informado;1;R2;S2;816-455-8733;2;10024009
08e1dbb0609eefe0fe738a9ea2bdc1fe2df0afbcab98cb62e76bbad81f491a55;10009672;DEAC Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10009672
4baaf5cc6aaeb670fdadd77135348c20deaa5984ad00b9283b49dc438a5ecd22;10014779;HBO Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10014779
75e456c4cc8322f7ff59667501b947e8dcc6c5a9e5b51b54daaea7d7b17ec670;10027348;Zephyr Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10027348
b8b566088317a8462e5eb1fda996080c39b1da0f0a2a79bb03935755013c0ea6;10014471;Harts Superstore;G3;Não Informado;1;R1;S2;816-455-8733;1;10014471
6df0c30fe0664af3a34993ec3c7ade416b2a704b6895f9466f4fe76093f40ba6;10013052;GammaGraphX Store;G2;Não Informado;1;R3;S16;816-455-8733;1;10013052
41297c469435c06a2578ab45c35c59d513856e38f87287e4339b1ea1c416c82b;10015495;Hennings;G2;M1;1;R3;S16;816-455-8733;2;10015495
d703a8c6b89e5b2f679486497487b187910b694cac4eb843e14bbcac8f4afb2f;10021145;Pacel Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10021145
48b27227b1064d4cd50b16f629268ff667ec6aa5531af2da496a880037a4c8dc;10025508;Unimedya Shop;G3;Não Informado;1;R3;S5;816-455-8733;1;10025508
fde7ee816e0de023264582933776091bdd22b50f27d113d20f15884790ebdc13;10009656;DCS Market;G2;Não Informado;1;R3;S16;816-455-8733;2;10009656
ef2147dee70c3b28381dc93a541b6e0fe4db834856e4e61e7cde17b157152897;10014810;Healtheon Shop;G2;Não Informado;1;O1;S5;816-455-8733;2;10014810
5537bfee8c47ad2ca622f4ec3f139ac9db109eaef55cb67171ccb60e76a08bea;10021006;Overdreams Shop;G2;Não Informado;1;R3;S1;816-455-8733;1;10021006
79c19df126414e76d7f07cf5ea26a33aa8cdb6766789587269ef2afab216a8bd;10022470;Racal Store;G2;Não Informado;1;R3;S5;816-455-8733;2;10022470
2c7796249a2f85474e31b9cec64ab9677ba1d1161346ba5e2b7b560c719bdba0;10022249;Quantum Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10022249
098201d2879f9784f1653b5e16f0f15ac63dc5891e251bd8627a99bfae7d3aa5;10011018;Eloi Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;1;10011018
41bec31cb5d4ca2d65d0d30ccab4fd8070b4fc50a9f12f006dc9f66334056777;10000460;Meals Market;G2;Não Informado;1;R3;S16;816-455-8733;2;10000460
d2890d14f04f0b56d71f02377165b11f8c48ba64adcab1d43c1adcd64a2f7230;10000471;Aadast Shop;G1;M1;1;R3;S19;816-455-8733;1;10000471
abbad8fb74d918f6e5805060bbe39e61b183d7c40744dea6d5669becba681e78;10019514;Kimball Supermarket;G2;Não Informado;1;R2;S4;816-455-8733;1;10019514
fc44c38f7bc7f60a58dff4998f86906ec72daaedeaa02cf49d9eb900b05f602e;10023785;Satyam Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10023785
336b5238436ea2c30c2e0bedabba0ba7b8fde3a9d2bec999d53420b29836c15e;10016564;Home Market;G2;Não Informado;1;R3;S16;816-455-8733;2;10016564
8f6ea057e6df45b60110b7ce7a0fc218e87afb414224b59c0d4657c0519ef4f1;10027575;Zitel Shop;G2;Não Informado;1;R3;S1;816-455-8733;2;10027575
eb50cda9511d2166519e117af636edf2e6cbe21cafa862c1720707b84b909f06;10002746;Active Supermarket;G2;Não Informado;1;R3;S9;816-455-8733;2;10002746
7559133eac1e0697fe92e471040977db7ecba0ad6bf52ef040a467f7c53e27b3;10015824;Heurikon Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10015824
f4bfba995cabb4a53773cfc89f2deb685888f99576af77018e6a6d75cea1c1ce;10006862;BL Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;2;10006862
45e3543d751109fd40de7aab2d4adc4ecc1347f2bde9f106c3b0ba3c204758b1;10025038;Tanager Shop;G2;Não Informado;1;R2;S11;816-455-8733;2;10025038
6ec51878e77dc088928d855786fb54bbeda2f1a191f3e8258f572d00f78e1fbb;10012715;Fokas Midstore;G2;M1;1;R3;S16;816-455-8733;2;10012715
bb3cc6c453ad4082e0ef214ecce8396dd237052a77027159654f8d3dc9401646;CustomerKey;Customer;Customer Type;Line of Business;Business Unit;Business Family;Regional Sales Mgr;Phone;Division;Address Number
99eaa77980a82e37765caba8b922c6a0b812af704ffdcd664e3c9a264c9dd14e;10022746;Rdlabs Shop;G1;M1;1;R3;S19;816-455-8733;1;10022746
a28eb4c816a96054779f6c25f2f1845880b7c666f679db2c0aaae3a20742dcec;10006916;Boott Store;G2;Não Informado;1;R3;S16;816-455-8733;1;10006916
8cb1d1f4aacdeb0011059314cdf71c9a23cedf96a054526a3f67908f9cb0ae4a;10004256;Benedict Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10004256
352a541654f84a4df4325239d74909353596915ea2c15b766d5ab80f77e8f978;10019879;Litton Shop;G2;Não Informado;1;R3;S1;816-455-8733;2;10019879
1c290ee26fa42bd733d9bbe01012d595ef2ce94188cba9f06e12482f52aea129;10024006;ScotGold Market;G2;M1;1;R3;S16;816-455-8733;2;10024006
ebd09e086b7bbf56b139e58d6b3f0a23fa32748368deba6092b232c41901ceb2;10022456;Ra Maxistore;G2;Não Informado;1;R3;S16;816-455-8733;2;10022456
cece74f3a7e0c20ea88e287f77e6ab1acf17ef4c25f27a743d4877529b5a9a16;10020184;Matradi Megastore;G2;Não Informado;1;O2;S12;816-455-8733;2;10020184
8e739663bab285e8681aa502937859f6dabc6688bbcc51deb8f7c0770c3ca83c;10021184;Pacific Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10021184
dff3ef088e1a4759c743d1711ab49beb9c700b9d922e8dfa145ed0e7d6f65bca;10024924;T.M. Store;G1;M1;1;R3;S16;816-455-8733;1;10024924
d52a2e07ad2079ce7c877501d08d5399ca2baf6d796d0cdd99b680ecbb401010;10021240;PAGE Shop;G2;Não Informado;1;R3;S1;816-455-8733;1;10021240
60e5de5750594bce1211cb83eb836793d0bf39fb9ccbd3baa45e4c09053e041a;10009623;Chas Market;G2;Não Informado;1;R3;S16;816-455-8733;2;10009623
877d8191179ae9c590eb59a2ddcdc93cef00cfd6e2137b9a89dacb438fb0c0ae;10021231;Packard Supermarket;G2;Não Informado;1;R2;S9;816-455-8733;2;10021231
dfae170b8fc7362eec9de35a3cac7c80455ed612c69c76d45e7e787f7617f1ad;10020388;Metro-Goldwyn-Mayer, Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;2;10020388
2b07706268cf3ddf5c7a8ccd93f39302160c56ef12fceae215c0adb2df6612c5;10022730;RC Shop;G2;Não Informado;1;R2;S9;816-455-8733;2;10022730
53bb9a6ae1dc5e8e7558ab2c817cf49903345d7bc4e56785a9a1d265ce241209;10016807;Ibis Shop;G2;M1;1;R3;S16;816-455-8733;2;10016807
11bf013d292cb749be6f3ababce508dd443151d15fdf99fdd1c03949363ec148;10000601;Radio Market;G2;Não Informado;1;R2;S5;816-455-8733;2;10000601
28579e134d74127cdf0130103945f58fc2e67bfd6c8cb966791a75087aa5dc23;10024524;Southam Supermarket;G2;Não Informado;1;R2;S9;816-455-8733;2;10024524
8112b0d37e8138d5531ebb137a6d8f7238a45c7e93e7e63e9ce9a033d7d9c753;10007591;ComeStore;G1;M1;1;R3;S19;816-455-8733;1;10007591
7a064b59612077cf5f84dac2d1079424b9cffb12abdbfee714e363c9c4113ca3;10019812;Lewis Supermarket;G2;Não Informado;1;R2;S5;816-455-8733;1;10019812
27bae2358fb38f84abdb1c47a6703fa8fb09a8d485d3a6c8aa8afa2642890735;10005922;Big Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;1;10005922
234d0708a4750203054e05df95360e58555ad83970b2679b7a6514a45e7055f6;10022444;R.J. Market;G2;Não Informado;1;O2;S12;816-455-8733;2;10022444
fecfce33df567e5ce3016cac5824b404e18ed695b091366b8b6f1e6c9e63c261;10006848;BizNet Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;2;10006848
eeedee00ed3d32bab60896ee9ba588a025be0566583877352045c034affa16e5;10000457;A&G Shop;G1;Não Informado;1;O2;S1;816-455-8733;1;10000457
7d3249a2415864429ca7445ec476315a4a909a639686b67464eb982e272b3313;10013188;Gartner Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10013188
ca527ef68af33529d2015ef9b55a80dbb92ce8c0f9bd62129c42b0cc1c7f1489;10002220;ACRON Shop;G3;Não Informado;1;R3;S5;816-455-8733;1;10002220
0b76b6ab77f578ae194dca96358a719545def876298dabcd6f81175ab21f9f81;10017852;J.A. Supermarket;G1;M1;1;R3;S19;816-455-8733;1;10017852
e04d390459aa10f3df948550e29308cc9347fab16d8276cd4b7e49e9bb5f2299;10022166;QualityLogic Shop;G2;Não Informado;1;R3;S11;816-455-8733;1;10022166
c614bcb1e73b0109006fb087753340b0c09a863a85d6a8c83a2c0912fbd2c717;10007536;Calypso Maxi Store;G2;Não Informado;1;R2;S5;816-455-8733;1;10007536
972b07168dce55a7554eb0891f689ae5715986fc16c45cc3b234c82c9d5a439e;10013765;Gemini Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10013765
91f76e1a061f3116c839eb52770a0ee85e33565fef0a0930efb45f7efc3a403a;10011870;Fenwick Supermarket;G2;Não Informado;1;O2;S12;816-455-8733;1;10011870
597dcfb7d58cff8e126a9082b7559dc7a9712b05209a77065cb80b7aee28eaca;10021283;PageBoy Shop;G2;Não Informado;1;R3;S1;816-455-8733;1;10021283
45faf087ef8b1029c3a413492e3137b23f399c4c730a4da4337c2d5d4fbe92b2;10002501;Action Supermarket;G1;Não Informado;1;R3;S19;816-455-8733;1;10002501
b0f09e57358e96eabb3884a5bcde1f533c397530f006495fed56e1c58c31b7d1;10000456;A&B Shop;G3;Não Informado;1;R1;S2;816-455-8733;1;10000456
7371273646983441545ab87894467f8c85090c45177b5eab3c7ae79d7962623a;10019880;Litton Supermarket;G2;Não Informado;1;O2;S12;816-455-8733;2;10019880
41753d0359d917c28f1d010548778a1cd9af79b2b20c2d4ce6dfe810641e8764;10020672;Oki Shop;G1;M1;1;R3;S19;816-455-8733;1;10020672
95b47337c9eca7dbfdb87ffc0d9a85cb3043e4c80eb8daf538fdc7e3239bc230;10013538;GEAR Shop;G2;Não Informado;1;R3;S16;816-455-8733;1;10013538
731c76addf7d259b59499c83454d6065e58dc07499c2a172b44c145185841aa6;10015789;hesketh.com Shop;G1;M1;1;R3;S19;816-455-8733;1;10015789
dd2e6852d26129719ae823304680b76f3ceec7470b159b6ba5663db75f7c4869;10020931;OutPost Market;G2;Não Informado;1;R2;S5;816-455-8733;2;10020931
4362a89d4ebcda0935492678e4c63b600b00430f149986f65326a952dc3cc43c;10019066;KENROB Megaplace;G2;Não Informado;1;R3;S1;816-455-8733;1;10019066
129354f33f6b8b36a5bb6a0a258dbf9b59f0530894077c05a8d19a566a13e368;10015956;Hidden Market;G2;Não Informado;1;R3;S9;816-455-8733;1;10015956
c2638f2dc897aef5e7b70f4df2402c44822129cf00ea4bc83667f2dbd67af2f8;10007258;C3I Shop;G2;Não Informado;1;R3;S16;816-455-8733;1;10007258
0e61e792738dd9eb7069f26edafa16dd24477a93300046f2893781c3426e1517;10025250;TICOR Shop;G2;Não Informado;1;R2;S5;816-455-8733;2;10025250
f103fbf5108ffc0ff486e37596b8667ed97dc624c8b669ddf86fb57cdc9237c4;10018871;Karsings;G2;Não Informado;1;O2;S12;816-455-8733;2;10018871
cda69423b82812919753d25bdafd39d99fb28fb2bb24ca9bfa640fab765ed313;10024248;Sifton Supermarket;G2;M1;1;R3;S16;816-455-8733;2;10024248
60881da539bcb044f655964b82fdebbada5bf2018ee1c906fae59befa4d6035d;10014540;HarveyOpolis Shop;G1;M1;1;R3;S16;816-455-8733;1;10014540
d7c5391eee3ba4cad6f2e5cb1e73e43b33a52cbe880ce456dec008e7ed09ef7f;10012369;Finest Supermarket;G2;Não Informado;1;R3;S4;816-455-8733;1;10012369
438416539d1a96074cec5f3b83b7798c79621bae4ee33395413fa4c20754ca93;10006983;Brentano's Shop;G2;Não Informado;1;O1;S5;816-455-8733;1;10006983
3fa1ae500400c6960dcdb4583d6030c6024f750a2dd0be826fed5ad8027fa3a9;10025049;Tao Store;G2;Não Informado;1;R3;S16;816-455-8733;2;10025049
e4fe6de74b4dc5099670b87becc383267266652200fb2cb4e4bb3c064d6af0d7;10007123;C Supermarket;G2;Não Informado;1;R3;S16;816-455-8733;2;10007123
785fd66267d28cc092d5799dc1d3f1883af8fe5d922eabc9fafa8984fd4c7213;10025919;Vanstars;G2;M1;1;R3;S16;816-455-8733;2;10025919
8f75b65569ae27cde2306fc0a7e922d2c93c4490380a7acc970e14fe62b4363f;10013332;GateMaster Shop;G2;Não Informado;1;R3;S16;816-455-8733;1;10013332
91a06736f6d215d3cbd4f0b737af2c0d4605245243c91a1c13655f92fb841be0;10022183;Quantex Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;2;10022183
6b31d70470683845e707e8cac03693bf99028ebd2ab411abc3d5f75b1eae438d;10010897;Edify Shop;G2;Não Informado;1;R2;S2;816-455-8733;2;10010897
864519ab17ec906a0dbce6a480e9c8904a6a72c6ab5311f7b9d8b85af08845bd;10009642;David Store;G2;Não Informado;1;R3;S16;816-455-8733;2;10009642
63dea0779d3f50462620c8887f420c76b7632408d88047eff53609b203d9f23a;10025287;TransCanada Store;G2;Não Informado;1;R2;S5;816-455-8733;2;10025287
4a724a0513cf18086004d4d314b2166cb84d01c1840beef1e3109db1bf230c49;10009356;Central Supermarket;G2;Não Informado;1;R1;S11;816-455-8733;2;10009356
66598fe15efe2463a1f0fc4346dee07262a17ea1a34b646768ee80a5ac2c5be9;10025571;Unitec Maxistore;G2;Não Informado;1;R3;S9;816-455-8733;2;10025571
0f875d2caecf56b0e38207402ad984362ab6447a2be8c35389be05fe81d19188;10013238;Gastown Store;G2;Não Informado;1;R1;S11;816-455-8733;2;10013238
e844a7725ce8b29ae0e4c01c08d740d5baf0dcff0942b78ea8712ae5ebcfb891;10010698;Earth Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10010698
2c2c0a1082a4b019773aafca531558fd454188e23744a8968b2e52f7e82234df;10025024;Talarians;G2;Não Informado;1;O2;S12;816-455-8733;1;10025024
67bcf98c8de8f6c1f2577c7e6e991e03b7d098fbf381594fe804061a207e2ed1;10006917;Borden Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;1;10006917
a2651c93806d2a7e0137884f2d3c8c245e512c539c4514dcb5475cd05fb61202;10002765;Active Store;G2;Não Informado;1;R3;S16;816-455-8733;2;10002765
42228373f52b81c2f68081dd28e2f0bd55cd5802839f0d61034732b29792f623;10024743;Stone Supermarket;G2;Não Informado;1;R3;S1;816-455-8733;2;10024743
91a305c86b7ad5ad41f83a527b1095d016e84b97c1cced8717bb2095066b6b70;10025238;Team Supermarket;G2;Não Informado;1;R3;S4;816-455-8733;2;10025238
5dcf2238e27a4a5cbd8df86ff83948ee28af73885c7c441fb925a4a10dbfea78;10009606;Champs Gigaplace;G1;M1;1;R3;S19;816-455-8733;1;10009606
b093d89fa4a7b91d71439ad14e3bbedf40dd4a7062e74c565587a5de4f5ae004;10025418;Ultra-Image Shop;G2;Não Informado;1;R2;S3;816-455-8733;1;10025418
1510522dfd40f4f98b30c8226837b4fade9f1be87f5339a7b6b59ac0e33d571d;10018129;J.M. Market;G1;M1;1;R3;S19;816-455-8733;1;10018129
9ea3a34388cae1f71224d8218f4dbb369f0c55566e001e08269d8e2633820762;10020192;MATRIX Shop;G2;Não Informado;1;R3;S16;816-455-8733;2;10020192
75493ab5b099a9c295e4ded4e394d7decef9e947e328edb65451da176b4eb9be;10019512;Kim Market;G2;Não Informado;1;R3;S16;816-455-8733;1;10019512
ac18581cf7db573e9e181bd1442a0c18a6667cd566846b0b930a729a25cbe3c2;10004255;Bendix Store;G1;M1;1;R3;S19;816-455-8733;1;10004255
bcddc6d4a5fc9c859a0678dc6ae3ec7bbd80580ca8418920d270c0c52850d846;10019469;kGS Shop;G2;Não Informado;1;R3;S1;816-455-8733;1;10019469
40d580a7d5fda19748b261510123ce3568182b46eee762206400c91cc5062722;10023538;Salamander Supermarket;G2;Não Informado;1;R1;S11;816-455-8733;2;10023538
341991f56d7e6597252615352b0d1deb253b1651027d7e18f129c87a2c3e0fc4;10019942;LMAO superplace;G2;Não Informado;1;R3;S16;816-455-8733;2;10019942
819562dc58a799329a0375283b33c87df5f61f5ec632a76f8e10ee61591bfd08;10007120;Brinco Store;G2;Não Informado;1;R3;S16;816-455-8733;2;10007120
9061556dd7e19be8786b13c19e9911f106ffbef8950f452558a549ff572e55d2;10025242;Teamsolve Shop;G1;Não Informado;1;O2;S1;816-455-8733;1;10025242
7568261e5c37df7b1e36d49b0baffe2dc8e974feac1db91da86e9d4502fe0246;10002412;Acsior Shop;G1;M1;1;R3;S19;816-455-8733;1;10002412
d19c38ef01a98a4a7ac08182e6c750a4691d3812ed59d1858d1fc808dfeffb3a;10012600;FireTrans Shop;G2;Não Informado;1;R3;S4;816-455-8733;1;10012600
c57b8c27e5f06b8037422dc7f9fe0da31c60c09306e208201b2c1e1e0d723c73;10020281;Mb Market;G1;M1;1;R3;S16;816-455-8733;1;10020281
1eedaa7773872a046f248584f655e7ee13df6747a15983c719259d7dd85b928c;10025560;Unisys Supermarket;G2;M1;1;R3;S16;816-455-8733;2;10025560
c19dfca4845a1ce487a4d7e893f47afb3db0e2cb4ad5a755f2c43f5b22e04fd9;10002159;ACI Shop;G1;M1;1;R3;S19;816-455-8733;1;10002159
236dd807431d9e5f5afa189c03dd5e969219c52c53ae39cc6aeac1df417dd784;10023022;Renaissance Supermarket;G3;Não Informado;1;R2;S8;816-455-8733;1;10023022
5586dd41435474c776ee2edcbf43bd99c5ffeed18d6bd599d889b4a503084326;10012305;FIND/SVP Shop;G2;Não Informado;1;R3;S9;816-455-8733;1;10012305
08b0dc5faf537e49c7717b5a5edf87ebaf8c60053cc2d3184857f537ef0c4410;10000488;ABI Supermarket;G1;M1;1;R3;S19;816-455-8733;1;10000488
3da4621971a96d7c5aaa2e822ac63fe3a867e23643d9dea7aac71863afd0e932;10010914;Editor Shop;G2;M1;1;R3;S16;816-455-8733;2;10010914
aa0fd267947d2ccd9f62834dc203bf3c129096398b7a846b0b6406ebfd4191a9;10023447;RKS Shop;G2;M1;1;R3;S16;816-455-8733;2;10023447
f217fc4f64674be09d3ac491c1c8c113cbdda5b9b4b6d44ff16fd500de8bb33b;10024003;Scientific Supermarket;G2;Não Informado;1;R2;S3;816-455-8733;2;10024003
541aabc72e77a4547c9f6bb491d73df107ee28b17fa2aca10037dd14c30dc6dc;10023023;Crew Superstore;G2;Não Informado;1;R1;S20;816-455-8733;2;10023023
